"beta" "gamma"
"248" 1.04586605215445 1.22828781139106
"249" 1.52874826220796 1.23119025607593
"250" 2.1281161531806 1.12595339887775
"251" 1.78417842835188 2.74031018139794
"252" 1.81734077632427 1.51228326023556
"253" 1.89583801431581 1.55248007155024
"254" 1.27221754286438 1.23962701298296
"255" 1.56175965443254 0.862214154331014
"256" 2.10762532427907 1.80063674226403
"257" 1.85966116609052 1.69756550225429
"258" 2.33662910759449 1.59171598614193
"259" 2.67003752756864 1.69428687891923
"260" 1.64599181618541 1.72208409640007
"261" 1.18910445831716 2.11682615918107
"262" 1.6866251360625 1.91936005139723
"263" 2.21594944829121 1.4990626135841
"264" 2.70942110102624 1.50196291040629
"265" 2.99028231063858 2.0153976441361
"266" 2.49080654466525 1.15235370933078
"267" 3.30216729780659 2.55379968206398
"268" 1.94550688378513 1.950681314338
"269" 3.38246101280674 1.8955581553746
"270" 1.70333815040067 1.51685335556976
"271" 1.25860519008711 2.80991942738183
"272" 1.9561218819581 1.4039038028568
"273" 1.96412096498534 0.927255643764511
"274" 1.73982994165272 0.761898589553311
"275" 2.38437696592882 1.97955583105795
"276" 1.32191854761913 1.33386997273192
"277" 2.69078048644587 1.25793308601715
"278" 1.83974681422114 1.0401566058863
"279" 1.0699418769218 0.72174105560407
"280" 1.81768973823637 1.33963607717305
"281" 0.886602313257754 0.873471179511398
"282" 1.48201817413792 1.25123751698993
"283" 2.89432877209038 1.50320645654574
"284" 1.04974213056266 1.43123921006918
"285" 1.98842265643179 2.6196124823764
"286" 3.09394545620307 2.22291501122527
"287" 3.46319999778643 2.08710412029177
"288" 2.67113751266152 2.76726876269095
"289" 1.5980150946416 1.48371018934995
"290" 1.4342667395249 1.29849726217799
"291" 2.6674768817611 1.99740554089658
"292" 2.35307747265324 1.72376913018525
"293" 2.21692703897133 0.68757699104026
"294" 1.93294129800051 1.86777782742865
"295" 1.46106563974172 1.44864026573487
"296" 1.886400366202 0.906543489545584
"297" 1.66604669764638 1.75742574268952
"298" 1.3259983737953 0.67566403769888
"299" 1.88649352639914 0.740175142418593
"300" 1.05333641171455 1.07995577040128
"301" 1.09021398238838 0.869574910029769
"302" 2.1852023457177 3.34391704294831
"303" 3.08503044070676 2.59382486226968
"304" 2.22867170115933 1.39007348567247
"305" 2.76086936704814 2.21304553677328
"306" 2.73843788774684 2.21706663956866
"307" 2.53331826534122 1.59405966871418
"308" 1.00744012510404 0.642491335747764
"309" 2.42922104196623 2.78132728650235
"310" 2.22401683451608 1.91533620469272
"311" 1.72553014243022 1.04028514586389
"312" 1.22821293072775 1.17500473745167
"313" 3.08248244458809 1.48521388764493
"314" 1.99723712401465 2.67012473312207
"315" 1.29186642356217 1.55150948092341
"316" 2.0812987559475 2.84264220390469
"317" 2.40511102601886 1.03996188961901
"318" 2.29498022003099 1.05671049677767
"319" 1.47935518296435 1.12185050500557
"320" 3.84966171579435 1.31075538229197
"321" 0.915857562795281 0.742824918124825
"322" 3.71277938596904 1.49519199621864
"323" 3.45756835304201 1.48885270114988
"324" 2.2193228895776 1.26713339588605
"325" 1.52687376365066 1.82081288541667
"326" 3.084576735273 1.14662070642225
"327" 2.99026345135644 1.82692696456797
"328" 1.78393602138385 0.879208158003166
"329" 2.2178943012841 1.01567159523256
"330" 1.97774701984599 1.67049597250298
"331" 2.69847148796543 1.58155474811792
"332" 1.74935188144445 1.94175326731056
"333" 1.8471550848335 1.83168798568659
"334" 1.66892382316291 2.16186493984424
"335" 2.48475688742474 1.52993345051073
"336" 1.55520822387189 1.23413918656297
"337" 2.10701810894534 1.24914787011221
"338" 1.98849671520293 1.55894667259417
"339" 2.39858408458531 1.89877155702561
"340" 3.34195335162804 1.94598708418198
"341" 1.28161918837577 1.15096534253098
"342" 0.785674976650625 0.713229839457199
"343" 1.16862421389669 0.931186537491158
"344" 2.54380289232358 2.44783922447823
"345" 1.49318118346855 1.36569996131584
"346" 2.05208647996187 0.99861862952821
"347" 1.0664718830958 0.90732648037374
